id,predicted_genre
0,"['Cerpen Kehidupan', 'Cerpen Fantasi (Fiksi)', 'Cerpen Anak', 'Cerpen Sedih']"
1,"['Cerpen Kehidupan', 'Cerpen Keluarga', 'Cerpen Sedih']"
2,[]
3,"['Cerpen Cinta Sedih', 'Cerpen Patah Hati']"
4,"['Cerpen Patah Hati', 'Cerpen Cinta Sedih']"
5,['Cerpen Fantasi (Fiksi)']
6,"['Cerpen Cinta Sedih', 'Cerpen Patah Hati', 'Cerpen Cinta']"
7,"['Cerpen Keluarga', 'Cerpen Remaja']"
8,"['Cerpen Persahabatan', 'Cerpen Cinta', 'Cerpen Remaja']"
9,"['Cerpen Keluarga', 'Cerpen Sedih']"
10,"['Cerpen Cinta', 'Cerpen Keluarga', 'Cerpen Sedih']"
11,"['Cerpen Keluarga', 'Cerpen Kehidupan', 'Cerpen Sedih', 'Cerpen Fantasi (Fiksi)']"
12,['Cerpen Fantasi (Fiksi)']
13,"['Cerpen Kehidupan', 'Cerpen Keluarga', 'Cerpen Sedih']"
14,"['Cerpen Cinta', 'Cerpen Remaja', 'Cerpen Patah Hati']"
15,[]
16,"['Cerpen Cinta Sedih', 'Cerpen Cinta']"
17,['Cerpen Fantasi (Fiksi)']
18,[]
19,"['Cerpen Cinta Sedih', 'Cerpen Patah Hati', 'Cerpen Keluarga']"
20,['Cerpen Persahabatan']
21,"['Cerpen Kehidupan', 'Cerpen Keluarga']"
22,"['Cerpen Cinta Sedih', 'Cerpen Sedih']"
23,"['Cerpen Cinta Sedih', 'Cerpen Cinta', 'Cerpen Patah Hati']"
24,"['Cerpen Keluarga', 'Cerpen Sedih']"
25,['Cerpen Fantasi (Fiksi)']
26,"['Cerpen Keluarga', 'Cerpen Sedih']"
27,"['Cerpen Kehidupan', 'Cerpen Keluarga']"
28,"['Cerpen Remaja', 'Cerpen Keluarga', 'Cerpen Persahabatan']"
29,"['Cerpen Cinta', 'Cerpen Patah Hati', 'Cerpen Cinta Sedih']"
30,"['Cerpen Persahabatan', 'Cerpen Anak']"
31,"['Cerpen Keluarga', 'Cerpen Sedih']"
32,[]
33,[]
34,['Cerpen Persahabatan']
35,"['Cerpen Remaja', 'Cerpen Persahabatan', 'Cerpen Cinta']"
36,"['Cerpen Persahabatan', 'Cerpen Cinta', 'Cerpen Remaja']"
37,"['Cerpen Persahabatan', 'Cerpen Cinta', 'Cerpen Remaja']"
38,"['Cerpen Persahabatan', 'Cerpen Remaja', 'Cerpen Patah Hati']"
39,"['Cerpen Cinta Sedih', 'Cerpen Persahabatan', 'Cerpen Kehidupan', 'Cerpen Fantasi (Fiksi)', 'Cerpen Cinta', 'Cerpen Remaja', 'Cerpen Patah Hati', 'Cerpen Keluarga', 'Cerpen Sedih']"
40,"['Cerpen Cinta Sedih', 'Cerpen Sedih', 'Cerpen Keluarga']"
41,['Cerpen Persahabatan']
42,"['Cerpen Remaja', 'Cerpen Persahabatan']"
43,"['Cerpen Kehidupan', 'Cerpen Cinta Sedih', 'Cerpen Keluarga']"
44,['Cerpen Keluarga']
45,['Cerpen Cinta Sedih']
46,"['Cerpen Kehidupan', 'Cerpen Fantasi (Fiksi)', 'Cerpen Keluarga']"
47,[]
48,['Cerpen Cinta']
49,"['Cerpen Remaja', 'Cerpen Persahabatan']"
50,['Cerpen Anak']
51,"['Cerpen Cinta', 'Cerpen Remaja']"
52,[]
53,[]
54,"['Cerpen Kehidupan', 'Cerpen Fantasi (Fiksi)', 'Cerpen Keluarga']"
55,"['Cerpen Keluarga', 'Cerpen Sedih']"
56,"['Cerpen Kehidupan', 'Cerpen Fantasi (Fiksi)']"
57,"['Cerpen Persahabatan', 'Cerpen Remaja', 'Cerpen Cinta Sedih']"
58,"['Cerpen Persahabatan', 'Cerpen Sedih', 'Cerpen Keluarga']"
59,[]
