id,predicted_genre
0,['Cerpen Anak']
1,"['Cerpen Kehidupan', 'Cerpen Keluarga', 'Cerpen Sedih']"
2,[]
3,"['Cerpen Patah Hati', 'Cerpen Sedih']"
4,[]
5,[]
6,[]
7,[]
8,['Cerpen Cinta']
9,"['Cerpen Keluarga', 'Cerpen Sedih']"
10,[]
11,[]
12,['Cerpen Fantasi (Fiksi)']
13,['Cerpen Sedih']
14,['Cerpen Cinta']
15,"['Cerpen Patah Hati', 'Cerpen Remaja']"
16,[]
17,['Cerpen Remaja']
18,[]
19,[]
20,"['Cerpen Persahabatan', 'Cerpen Sedih']"
21,['Cerpen Kehidupan']
22,[]
23,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
24,['Cerpen Keluarga']
25,[]
26,['Cerpen Cinta']
27,[]
28,['Cerpen Remaja']
29,['Cerpen Patah Hati']
30,['Cerpen Anak']
31,['Cerpen Persahabatan']
32,[]
33,['Cerpen Keluarga']
34,"['Cerpen Anak', 'Cerpen Persahabatan']"
35,['Cerpen Persahabatan']
36,['Cerpen Cinta']
37,['Cerpen Persahabatan']
38,[]
39,['Cerpen Cinta']
40,['Cerpen Cinta Sedih']
41,[]
42,['Cerpen Remaja']
43,['Cerpen Cinta Sedih']
44,[]
45,"['Cerpen Cinta Sedih', 'Cerpen Persahabatan']"
46,['Cerpen Kehidupan']
47,['Cerpen Anak']
48,"['Cerpen Patah Hati', 'Cerpen Remaja']"
49,['Cerpen Remaja']
50,[]
51,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
52,['Cerpen Persahabatan']
53,[]
54,['Cerpen Fantasi (Fiksi)']
55,['Cerpen Keluarga']
56,['Cerpen Anak']
57,['Cerpen Persahabatan']
58,[]
59,"['Cerpen Cinta', 'Cerpen Kehidupan']"
60,['Cerpen Kehidupan']
61,['Cerpen Persahabatan']
62,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
63,[]
64,['Cerpen Remaja']
65,['Cerpen Persahabatan']
66,[]
67,"['Cerpen Cinta', 'Cerpen Persahabatan']"
68,[]
69,['Cerpen Cinta']
70,['Cerpen Keluarga']
71,['Cerpen Cinta Sedih']
72,['Cerpen Cinta Sedih']
73,['Cerpen Keluarga']
74,[]
75,['Cerpen Persahabatan']
76,[]
77,"['Cerpen Cinta Sedih', 'Cerpen Fantasi (Fiksi)', 'Cerpen Sedih']"
78,['Cerpen Remaja']
79,"['Cerpen Anak', 'Cerpen Persahabatan']"
80,[]
81,"['Cerpen Anak', 'Cerpen Keluarga']"
82,"['Cerpen Keluarga', 'Cerpen Sedih']"
83,['Cerpen Sedih']
84,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
85,[]
86,['Cerpen Remaja']
87,"['Cerpen Cinta', 'Cerpen Persahabatan']"
88,['Cerpen Kehidupan']
89,[]
90,[]
91,['Cerpen Sedih']
92,"['Cerpen Anak', 'Cerpen Keluarga']"
93,[]
94,"['Cerpen Cinta Sedih', 'Cerpen Patah Hati']"
95,['Cerpen Cinta']
96,[]
97,"['Cerpen Cinta', 'Cerpen Remaja']"
98,"['Cerpen Cinta', 'Cerpen Persahabatan']"
99,[]
100,[]
101,['Cerpen Remaja']
102,['Cerpen Anak']
103,['Cerpen Anak']
104,"['Cerpen Cinta', 'Cerpen Cinta Sedih', 'Cerpen Remaja']"
105,[]
106,['Cerpen Persahabatan']
107,"['Cerpen Persahabatan', 'Cerpen Sedih']"
108,['Cerpen Kehidupan']
109,['Cerpen Keluarga']
110,[]
111,['Cerpen Remaja']
112,"['Cerpen Anak', 'Cerpen Remaja']"
113,[]
114,['Cerpen Anak']
115,"['Cerpen Patah Hati', 'Cerpen Remaja']"
116,"['Cerpen Keluarga', 'Cerpen Persahabatan']"
117,[]
118,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
119,[]
120,[]
121,[]
122,[]
123,['Cerpen Patah Hati']
124,['Cerpen Cinta Sedih']
125,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
126,['Cerpen Remaja']
127,[]
128,"['Cerpen Anak', 'Cerpen Fantasi (Fiksi)']"
129,[]
130,['Cerpen Cinta']
131,['Cerpen Anak']
132,[]
133,[]
134,[]
135,['Cerpen Cinta']
136,['Cerpen Keluarga']
137,['Cerpen Patah Hati']
138,[]
139,['Cerpen Persahabatan']
140,[]
141,['Cerpen Fantasi (Fiksi)']
142,['Cerpen Kehidupan']
143,['Cerpen Fantasi (Fiksi)']
144,['Cerpen Anak']
145,"['Cerpen Anak', 'Cerpen Remaja']"
146,['Cerpen Cinta']
147,[]
148,[]
149,"['Cerpen Anak', 'Cerpen Persahabatan']"
150,['Cerpen Remaja']
151,[]
152,[]
153,['Cerpen Remaja']
154,['Cerpen Cinta']
155,['Cerpen Keluarga']
156,['Cerpen Keluarga']
157,['Cerpen Keluarga']
158,['Cerpen Remaja']
159,['Cerpen Cinta Sedih']
160,"['Cerpen Anak', 'Cerpen Fantasi (Fiksi)', 'Cerpen Remaja']"
161,['Cerpen Anak']
162,['Cerpen Persahabatan']
163,['Cerpen Anak']
164,"['Cerpen Cinta', 'Cerpen Keluarga']"
165,[]
166,['Cerpen Kehidupan']
167,"['Cerpen Persahabatan', 'Cerpen Remaja']"
168,[]
169,['Cerpen Anak']
170,"['Cerpen Keluarga', 'Cerpen Sedih']"
171,['Cerpen Cinta Sedih']
172,['Cerpen Keluarga']
173,['Cerpen Fantasi (Fiksi)']
174,['Cerpen Persahabatan']
175,['Cerpen Kehidupan']
176,"['Cerpen Persahabatan', 'Cerpen Remaja']"
177,"['Cerpen Cinta Sedih', 'Cerpen Sedih']"
178,['Cerpen Sedih']
179,"['Cerpen Kehidupan', 'Cerpen Keluarga']"
180,[]
181,['Cerpen Persahabatan']
182,['Cerpen Persahabatan']
183,['Cerpen Kehidupan']
184,[]
185,"['Cerpen Cinta Sedih', 'Cerpen Sedih']"
186,"['Cerpen Cinta', 'Cerpen Persahabatan']"
187,[]
188,['Cerpen Persahabatan']
189,['Cerpen Keluarga']
190,[]
191,[]
192,['Cerpen Cinta']
193,"['Cerpen Cinta', 'Cerpen Patah Hati']"
194,['Cerpen Cinta']
195,[]
196,['Cerpen Keluarga']
197,['Cerpen Remaja']
198,"['Cerpen Cinta', 'Cerpen Persahabatan']"
199,"['Cerpen Anak', 'Cerpen Persahabatan']"
200,"['Cerpen Anak', 'Cerpen Fantasi (Fiksi)']"
201,[]
202,['Cerpen Fantasi (Fiksi)']
203,[]
204,"['Cerpen Cinta', 'Cerpen Cinta Sedih']"
205,"['Cerpen Cinta', 'Cerpen Persahabatan']"
206,['Cerpen Cinta']
207,[]
